Case Id,Event Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id
2211CP,1312,2017-12-15 09:59:18,2017-12-15 10:05:18,Request product,process activity,clerk,1c,product,2211p
2211CP,1314,2017-12-15 10:05:18,2017-12-15 10:05:18,Assgin robot,process activity,robot,68r,shelf,193s
4293CP,1311,2017-12-15 09:58:18,2017-12-15 10:21:18,Request product,process activity,clerk,1c,product,4293p
4293CP,1324,2017-12-15 10:22:18,2017-12-15 10:22:18,Assgin robot,process activity,robot,80r,shelf,441s
8475CP,1313,2017-12-15 10:04:18,2017-12-15 10:23:18,Request product,process activity,clerk,1c,product,8475p
8475CP,1327,2017-12-15 10:23:18,2017-12-15 10:23:18,Assgin robot,process activity,robot,44r,shelf,305s
8427CP,1321,2017-12-15 10:15:18,2017-12-15 10:25:18,Request product,process activity,clerk,1c,product,8427p
8427CP,1330,2017-12-15 10:25:18,2017-12-15 10:25:18,Assgin robot,process activity,robot,41r,shelf,128s
7060CP,1323,2017-12-15 10:20:18,2017-12-15 10:26:18,Request product,process activity,clerk,1c,product,7060p
7060CP,1332,2017-12-15 10:26:18,2017-12-15 10:26:18,Assgin robot,process activity,robot,72r,shelf,465s
9441CP,1316,2017-12-15 10:08:18,2017-12-15 10:27:18,Request product,process activity,clerk,1c,product,9441p
9441CP,1336,2017-12-15 10:28:18,2017-12-15 10:28:18,Assgin robot,process activity,robot,24r,shelf,165s
6104CP,1318,2017-12-15 10:12:18,2017-12-15 10:32:18,Request product,process activity,clerk,1c,product,6104p
6104CP,1341,2017-12-15 10:32:18,2017-12-15 10:32:18,Assgin robot,process activity,robot,76r,shelf,361s
7870CP,1326,2017-12-15 10:23:18,2017-12-15 10:36:18,Request product,process activity,clerk,1c,product,7870p
7870CP,1349,2017-12-15 10:38:18,2017-12-15 10:39:18,Assgin robot,process activity,robot,71r,shelf,19s
7607CP,1339,2017-12-15 10:30:18,2017-12-15 10:49:18,Request product,process activity,clerk,1c,product,7607p
7541CP,1344,2017-12-15 10:34:18,2017-12-15 10:55:18,Request product,process activity,clerk,1c,product,7541p
7607CP,1371,2017-12-15 10:57:18,2017-12-15 10:57:18,Assgin robot,process activity,robot,73r,shelf,160s
7541CP,1383,2017-12-15 11:02:18,2017-12-15 11:02:18,Assgin robot,process activity,robot,82r,shelf,86s
2211CP,1376,2017-12-15 10:59:18,2017-12-15 11:09:18,check if the product was shaked,process activity,clerk,1c,product,2211p
1157CP,1365,2017-12-15 10:53:18,2017-12-15 11:10:18,Request product,process activity,clerk,1c,product,1157p
3480CP,1373,2017-12-15 10:58:18,2017-12-15 11:11:18,Request product,process activity,clerk,1c,product,3480p
8816CP,1354,2017-12-15 10:41:18,2017-12-15 11:11:18,Request product,process activity,clerk,1c,product,8816p
8816CP,1398,2017-12-15 11:12:18,2017-12-15 11:12:18,Assgin robot,process activity,robot,95r,shelf,422s
3480CP,1399,2017-12-15 11:12:18,2017-12-15 11:12:18,Assgin robot,process activity,robot,28r,shelf,357s
1157CP,1403,2017-12-15 11:15:18,2017-12-15 11:15:18,Assgin robot,process activity,robot,10r,shelf,20s
5293CP,1389,2017-12-15 11:06:18,2017-12-15 11:21:18,Request product,process activity,clerk,1c,product,5293p
5293CP,1415,2017-12-15 11:21:18,2017-12-15 11:22:18,Assgin robot,process activity,robot,19r,shelf,483s
764CP,1416,2017-12-15 11:22:18,2017-12-15 11:27:18,Request product,process activity,clerk,1c,product,764p
7682CP,1385,2017-12-15 11:03:18,2017-12-15 11:27:18,Request product,process activity,clerk,1c,product,7682p
5091CP,1411,2017-12-15 11:20:18,2017-12-15 11:27:18,Request product,process activity,clerk,1c,product,5091p
7102CP,1391,2017-12-15 11:09:18,2017-12-15 11:32:18,Request product,process activity,clerk,1c,product,7102p
8033CP,1408,2017-12-15 11:17:18,2017-12-15 11:32:18,Request product,process activity,clerk,1c,product,8033p
6879CP,1393,2017-12-15 11:09:18,2017-12-15 11:34:18,Request product,process activity,clerk,1c,product,6879p
5091CP,1432,2017-12-15 11:34:18,2017-12-15 11:34:18,Assgin robot,process activity,robot,2r,shelf,384s
7682CP,1433,2017-12-15 11:34:18,2017-12-15 11:34:18,Assgin robot,process activity,robot,94r,shelf,174s
764CP,1434,2017-12-15 11:35:18,2017-12-15 11:35:18,Assgin robot,process activity,robot,61r,shelf,38s
6879CP,1441,2017-12-15 11:39:18,2017-12-15 11:39:18,Assgin robot,process activity,robot,18r,shelf,240s
8033CP,1445,2017-12-15 11:42:18,2017-12-15 11:42:18,Assgin robot,process activity,robot,36r,shelf,287s
3896CP,1394,2017-12-15 11:10:18,2017-12-15 11:42:18,Request product,process activity,clerk,1c,product,3896p
3896CP,1446,2017-12-15 11:42:18,2017-12-15 11:42:18,Assgin robot,process activity,robot,6r,shelf,72s
7102CP,1447,2017-12-15 11:43:18,2017-12-15 11:43:18,Assgin robot,process activity,robot,23r,shelf,90s
6966CP,1429,2017-12-15 11:32:18,2017-12-15 11:46:18,Request product,process activity,clerk,1c,product,6966p
6966CP,1454,2017-12-15 11:46:18,2017-12-15 11:47:18,Assgin robot,process activity,robot,17r,shelf,297s
4525CP,1423,2017-12-15 11:28:18,2017-12-15 11:57:18,Request product,process activity,clerk,1c,product,4525p
4178CP,1421,2017-12-15 11:27:18,2017-12-15 11:57:18,Request product,process activity,clerk,1c,product,4178p
4178CP,1469,2017-12-15 11:57:18,2017-12-15 11:58:18,Assgin robot,process activity,robot,69r,shelf,440s
5907CP,1451,2017-12-15 11:45:18,2017-12-15 11:59:18,Request product,process activity,clerk,1c,product,5907p
5907CP,1473,2017-12-15 12:00:18,2017-12-15 12:00:18,Assgin robot,process activity,robot,32r,shelf,39s
2568CP,1464,2017-12-15 11:54:18,2017-12-15 12:19:18,Request product,process activity,clerk,1c,product,2568p
2568CP,1499,2017-12-15 12:19:18,2017-12-15 12:19:18,Assgin robot,process activity,robot,81r,shelf,497s
7325CP,1488,2017-12-15 12:10:18,2017-12-15 12:21:18,Request product,process activity,clerk,1c,product,7325p
4525CP,1487,2017-12-15 12:09:18,2017-12-15 12:22:18,Assgin robot,process activity,robot,65r,shelf,491s
5057CP,1471,2017-12-15 11:59:18,2017-12-15 12:30:18,Request product,process activity,clerk,1c,product,5057p
1019CP,1458,2017-12-15 11:50:18,2017-12-15 12:30:18,Request product,process activity,clerk,1c,product,1019p
2127CP,1474,2017-12-15 12:00:18,2017-12-15 12:31:18,Request product,process activity,clerk,1c,product,2127p
5786CP,1505,2017-12-15 12:22:18,2017-12-15 12:32:18,Request product,process activity,clerk,1c,product,5786p
2127CP,1518,2017-12-15 12:32:18,2017-12-15 12:32:18,Assgin robot,process activity,robot,8r,shelf,442s
1019CP,1522,2017-12-15 12:33:18,2017-12-15 12:33:18,Assgin robot,process activity,robot,4r,shelf,307s
5057CP,1523,2017-12-15 12:33:18,2017-12-15 12:33:18,Assgin robot,process activity,robot,40r,shelf,189s
3725CP,1489,2017-12-15 12:10:18,2017-12-15 12:34:18,Request product,process activity,clerk,1c,product,3725p
8247CP,1497,2017-12-15 12:18:18,2017-12-15 12:37:18,Request product,process activity,clerk,1c,product,8247p
7325CP,1535,2017-12-15 12:40:18,2017-12-15 12:40:18,Assgin robot,process activity,robot,78r,shelf,396s
8247CP,1545,2017-12-15 12:46:18,2017-12-15 12:46:18,Assgin robot,process activity,robot,53r,shelf,414s
3725CP,1551,2017-12-15 12:50:18,2017-12-15 12:50:18,Assgin robot,process activity,robot,35r,shelf,376s
9968CP,1517,2017-12-15 12:32:18,2017-12-15 12:57:18,Request product,process activity,clerk,1c,product,9968p
9968CP,1562,2017-12-15 12:57:18,2017-12-15 12:57:18,Assgin robot,process activity,robot,54r,shelf,122s
9867CP,1547,2017-12-15 12:47:18,2017-12-15 12:57:18,Request product,process activity,clerk,1c,product,9867p
697CP,1530,2017-12-15 12:38:18,2017-12-15 13:01:18,Request product,process activity,clerk,1c,product,697p
141CP,1563,2017-12-15 12:57:18,2017-12-15 13:10:18,Request product,process activity,clerk,1c,product,141p
2253CP,1532,2017-12-15 12:39:18,2017-12-15 13:11:18,Request product,process activity,clerk,1c,product,2253p
697CP,1585,2017-12-15 13:11:18,2017-12-15 13:12:18,Assgin robot,process activity,robot,89r,shelf,129s
8955CP,1554,2017-12-15 12:51:18,2017-12-15 13:14:18,Request product,process activity,clerk,1c,product,8955p
8955CP,1591,2017-12-15 13:14:18,2017-12-15 13:14:18,Assgin robot,process activity,robot,43r,shelf,21s
3088CP,1525,2017-12-15 12:35:18,2017-12-15 13:16:18,Request product,process activity,clerk,1c,product,3088p
8205CP,1544,2017-12-15 12:46:18,2017-12-15 13:19:18,Request product,process activity,clerk,1c,product,8205p
8205CP,1597,2017-12-15 13:19:18,2017-12-15 13:19:18,Assgin robot,process activity,robot,39r,shelf,446s
5786CP,1558,2017-12-15 12:54:18,2017-12-15 13:19:18,Assgin robot,process activity,robot,5r,shelf,116s
3088CP,1594,2017-12-15 13:16:18,2017-12-15 13:21:18,Assgin robot,process activity,robot,25r,shelf,43s
2533CP,1570,2017-12-15 13:00:18,2017-12-15 13:21:18,Request product,process activity,clerk,1c,product,2533p
9867CP,1589,2017-12-15 13:14:18,2017-12-15 13:23:18,Assgin robot,process activity,robot,93r,shelf,50s
8690CP,1578,2017-12-15 13:05:18,2017-12-15 13:25:18,Request product,process activity,clerk,1c,product,8690p
2253CP,1609,2017-12-15 13:26:18,2017-12-15 13:26:18,Assgin robot,process activity,robot,88r,shelf,440s
141CP,1610,2017-12-15 13:26:18,2017-12-15 13:26:18,Assgin robot,process activity,robot,57r,shelf,62s
2952CP,1605,2017-12-15 13:24:18,2017-12-15 13:32:18,Request product,process activity,clerk,1c,product,2952p
8690CP,1627,2017-12-15 13:35:18,2017-12-15 13:35:18,Assgin robot,process activity,robot,11r,shelf,216s
2533CP,1632,2017-12-15 13:38:18,2017-12-15 13:38:18,Assgin robot,process activity,robot,1r,shelf,386s
2530CP,1611,2017-12-15 13:27:18,2017-12-15 13:43:18,Request product,process activity,clerk,1c,product,2530p
2530CP,1640,2017-12-15 13:43:18,2017-12-15 13:43:18,Assgin robot,process activity,robot,98r,shelf,227s
8628CP,1584,2017-12-15 13:10:18,2017-12-15 13:51:18,Request product,process activity,clerk,1c,product,8628p
2952CP,1657,2017-12-15 13:54:18,2017-12-15 13:54:18,Assgin robot,process activity,robot,56r,shelf,142s
1178CP,1658,2017-12-15 13:55:18,2017-12-15 13:58:18,Request product,process activity,clerk,1c,product,1178p
1178CP,1663,2017-12-15 13:58:18,2017-12-15 13:59:18,Assgin robot,process activity,robot,59r,shelf,489s
9598CP,1633,2017-12-15 13:39:18,2017-12-15 14:02:18,Request product,process activity,clerk,1c,product,9598p
9598CP,1670,2017-12-15 14:03:18,2017-12-15 14:03:18,Assgin robot,process activity,robot,66r,shelf,281s
8628CP,1673,2017-12-15 14:05:18,2017-12-15 14:05:18,Assgin robot,process activity,robot,84r,shelf,86s
1848CP,1641,2017-12-15 13:44:18,2017-12-15 14:10:18,Request product,process activity,clerk,1c,product,1848p
1848CP,1679,2017-12-15 14:10:18,2017-12-15 14:10:18,Assgin robot,process activity,robot,30r,shelf,41s
7886CP,1623,2017-12-15 13:33:18,2017-12-15 14:11:18,Request product,process activity,clerk,1c,product,7886p
2211CP,1683,2017-12-15 14:12:18,2017-12-15 14:12:18,Product Delivered,process activity,clerk,1c,product,2211p
4293CP,1691,2017-12-15 14:17:18,2017-12-15 14:17:18,check if the product was shaked,process activity,clerk,1c,product,4293p
7886CP,1693,2017-12-15 14:18:18,2017-12-15 14:18:18,Assgin robot,process activity,robot,15r,shelf,39s
6620CP,1687,2017-12-15 14:14:18,2017-12-15 14:31:18,Request product,process activity,clerk,1c,product,6620p
6620CP,1718,2017-12-15 14:34:18,2017-12-15 14:34:18,Assgin robot,process activity,robot,97r,shelf,308s
8052CP,1681,2017-12-15 14:11:18,2017-12-15 14:36:18,Request product,process activity,clerk,1c,product,8052p
8663CP,1675,2017-12-15 14:06:18,2017-12-15 14:41:18,Request product,process activity,clerk,1c,product,8663p
6034CP,1662,2017-12-15 13:58:18,2017-12-15 14:46:18,Request product,process activity,clerk,1c,product,6034p
6034CP,1737,2017-12-15 14:50:18,2017-12-15 14:50:18,Assgin robot,process activity,robot,74r,shelf,238s
8663CP,1744,2017-12-15 14:54:18,2017-12-15 14:54:18,Assgin robot,process activity,robot,52r,shelf,371s
482CP,1695,2017-12-15 14:19:18,2017-12-15 14:54:18,Request product,process activity,clerk,1c,product,482p
482CP,1745,2017-12-15 14:54:18,2017-12-15 14:54:18,Assgin robot,process activity,robot,55r,shelf,3s
8052CP,1753,2017-12-15 14:56:18,2017-12-15 14:56:18,Assgin robot,process activity,robot,34r,shelf,424s
2154CP,1742,2017-12-15 14:52:18,2017-12-15 15:01:18,Request product,process activity,clerk,1c,product,2154p
2154CP,1762,2017-12-15 15:02:18,2017-12-15 15:02:18,Assgin robot,process activity,robot,79r,shelf,204s
7806CP,1713,2017-12-15 14:31:18,2017-12-15 15:04:18,Request product,process activity,clerk,1c,product,7806p
7806CP,1779,2017-12-15 15:10:18,2017-12-15 15:10:18,Assgin robot,process activity,robot,85r,shelf,350s
1011CP,1739,2017-12-15 14:51:18,2017-12-15 15:15:18,Request product,process activity,clerk,1c,product,1011p
1011CP,1791,2017-12-15 15:16:18,2017-12-15 15:16:18,Assgin robot,process activity,robot,63r,shelf,231s
8176CP,1760,2017-12-15 15:01:18,2017-12-15 15:28:18,Request product,process activity,clerk,1c,product,8176p
8176CP,1812,2017-12-15 15:28:18,2017-12-15 15:28:18,Assgin robot,process activity,robot,60r,shelf,307s
3116CP,1780,2017-12-15 15:10:18,2017-12-15 15:37:18,Request product,process activity,clerk,1c,product,3116p
3116CP,1828,2017-12-15 15:37:18,2017-12-15 15:37:18,Assgin robot,process activity,robot,45r,shelf,56s
6928CP,1772,2017-12-15 15:07:18,2017-12-15 15:44:18,Request product,process activity,clerk,1c,product,6928p
499CP,1789,2017-12-15 15:15:18,2017-12-15 15:48:18,Request product,process activity,clerk,1c,product,499p
499CP,1856,2017-12-15 15:56:18,2017-12-15 15:56:18,Assgin robot,process activity,robot,29r,shelf,46s
6928CP,1862,2017-12-15 16:01:18,2017-12-15 16:02:18,Assgin robot,process activity,robot,20r,shelf,419s
7670CP,1845,2017-12-15 15:48:18,2017-12-15 16:05:18,Request product,process activity,clerk,1c,product,7670p
7670CP,1865,2017-12-15 16:06:18,2017-12-15 16:06:18,Assgin robot,process activity,robot,0r,shelf,19s
8101CP,1851,2017-12-15 15:53:18,2017-12-15 16:13:18,Request product,process activity,clerk,1c,product,8101p
8101CP,1877,2017-12-15 16:14:18,2017-12-15 16:14:18,Assgin robot,process activity,robot,99r,shelf,52s
3828CP,1853,2017-12-15 15:54:18,2017-12-15 16:16:18,Request product,process activity,clerk,1c,product,3828p
3828CP,1890,2017-12-15 16:22:18,2017-12-15 16:22:18,Assgin robot,process activity,robot,47r,shelf,135s
1202CP,1864,2017-12-15 16:05:18,2017-12-15 16:26:18,Request product,process activity,clerk,1c,product,1202p
1202CP,1899,2017-12-15 16:28:18,2017-12-15 16:28:18,Assgin robot,process activity,robot,70r,shelf,42s
9891CP,1874,2017-12-15 16:11:18,2017-12-15 16:33:18,Request product,process activity,clerk,1c,product,9891p
9891CP,1906,2017-12-15 16:33:18,2017-12-15 16:34:18,Assgin robot,process activity,robot,12r,shelf,49s
1563CP,1898,2017-12-15 16:27:18,2017-12-15 16:37:18,Request product,process activity,clerk,1c,product,1563p
1563CP,1915,2017-12-15 16:38:18,2017-12-15 16:38:18,Assgin robot,process activity,robot,67r,shelf,229s
324CP,1885,2017-12-15 16:17:18,2017-12-15 16:39:18,Request product,process activity,clerk,1c,product,324p
2031CP,1891,2017-12-15 16:23:18,2017-12-15 16:44:18,Request product,process activity,clerk,1c,product,2031p
324CP,1929,2017-12-15 16:48:18,2017-12-15 16:48:18,Assgin robot,process activity,robot,51r,shelf,364s
2031CP,1936,2017-12-15 16:50:18,2017-12-15 16:50:18,Assgin robot,process activity,robot,9r,shelf,73s
6477CP,1957,2017-12-15 17:03:18,2017-12-15 17:25:18,Request product,process activity,clerk,1c,product,6477p
6477CP,1989,2017-12-15 17:26:18,2017-12-15 17:29:18,Assgin robot,process activity,robot,27r,shelf,70s
8230CP,1988,2017-12-15 17:26:18,2017-12-15 17:37:18,Request product,process activity,clerk,1c,product,8230p
8230CP,2001,2017-12-15 17:37:18,2017-12-15 17:37:18,Assgin robot,process activity,robot,96r,shelf,424s
651CP,2006,2017-12-15 17:40:18,2017-12-15 17:52:18,Request product,process activity,clerk,1c,product,651p
651CP,2030,2017-12-15 17:53:18,2017-12-15 17:53:18,Assgin robot,process activity,robot,87r,shelf,153s
1048CP,2033,2017-12-15 17:55:18,2017-12-15 18:17:18,Request product,process activity,clerk,1c,product,1048p
1048CP,2067,2017-12-15 18:18:18,2017-12-15 18:18:18,Assgin robot,process activity,robot,37r,shelf,174s
4230CP,2059,2017-12-15 18:12:18,2017-12-15 18:22:18,Request product,process activity,clerk,1c,product,4230p
4230CP,2074,2017-12-15 18:23:18,2017-12-15 18:23:18,Assgin robot,process activity,robot,64r,shelf,245s
9500CP,2088,2017-12-15 18:33:18,2017-12-15 18:50:18,Request product,process activity,clerk,1c,product,9500p
9500CP,2116,2017-12-15 18:50:18,2017-12-15 18:51:18,Assgin robot,process activity,robot,21r,shelf,321s
6306CP,2109,2017-12-15 18:46:18,2017-12-15 18:53:18,Request product,process activity,clerk,1c,product,6306p
6306CP,2122,2017-12-15 18:55:18,2017-12-15 18:55:18,Assgin robot,process activity,robot,92r,shelf,58s
4293CP,2131,2017-12-15 19:01:18,2017-12-15 19:01:18,Product Delivered,process activity,clerk,1c,product,4293p
8499CP,2101,2017-12-15 18:39:18,2017-12-15 19:03:18,Request product,process activity,clerk,1c,product,8499p
8427CP,2137,2017-12-15 19:05:18,2017-12-15 19:05:18,check if the product was shaked,process activity,clerk,1c,product,8427p
8315CP,2117,2017-12-15 18:51:18,2017-12-15 19:09:18,Request product,process activity,clerk,1c,product,8315p
8315CP,2146,2017-12-15 19:09:18,2017-12-15 19:09:18,Assgin robot,process activity,robot,68r,shelf,207s
8499CP,2151,2017-12-15 19:13:18,2017-12-15 19:13:18,Assgin robot,process activity,robot,77r,shelf,46s
228CP,2145,2017-12-15 19:09:18,2017-12-15 19:18:18,Request product,process activity,clerk,1c,product,228p
228CP,2170,2017-12-15 19:25:18,2017-12-15 19:25:18,Assgin robot,process activity,robot,80r,shelf,54s
1570CP,2150,2017-12-15 19:12:18,2017-12-15 19:33:18,Request product,process activity,clerk,1c,product,1570p
8427CP,2181,2017-12-15 19:33:18,2017-12-15 19:33:18,Product Delivered,process activity,clerk,1c,product,8427p
7060CP,2189,2017-12-15 19:38:18,2017-12-15 19:38:18,check if the product was shaked,process activity,clerk,1c,product,7060p
1570CP,2190,2017-12-15 19:39:18,2017-12-15 19:39:18,Assgin robot,process activity,robot,14r,shelf,176s
8487CP,2176,2017-12-15 19:30:18,2017-12-15 19:44:18,Request product,process activity,clerk,1c,product,8487p
1378CP,2161,2017-12-15 19:19:18,2017-12-15 19:46:18,Request product,process activity,clerk,1c,product,1378p
1378CP,2212,2017-12-15 19:54:18,2017-12-15 19:54:18,Assgin robot,process activity,robot,86r,shelf,357s
8487CP,2219,2017-12-15 19:59:18,2017-12-15 19:59:18,Assgin robot,process activity,robot,49r,shelf,108s
7180CP,2188,2017-12-15 19:38:18,2017-12-15 20:06:18,Request product,process activity,clerk,1c,product,7180p
7180CP,2237,2017-12-15 20:10:18,2017-12-15 20:10:18,Assgin robot,process activity,robot,41r,shelf,245s
1081CP,2214,2017-12-15 19:56:18,2017-12-15 20:21:18,Request product,process activity,clerk,1c,product,1081p
1081CP,2257,2017-12-15 20:22:18,2017-12-15 20:22:18,Assgin robot,process activity,robot,62r,shelf,130s
94CP,2233,2017-12-15 20:08:18,2017-12-15 20:34:18,Request product,process activity,clerk,1c,product,94p
94CP,2271,2017-12-15 20:34:18,2017-12-15 20:34:18,Assgin robot,process activity,robot,90r,shelf,479s
670CP,2279,2017-12-15 20:40:18,2017-12-15 21:06:18,Request product,process activity,clerk,1c,product,670p
670CP,2314,2017-12-15 21:06:18,2017-12-15 21:06:18,Assgin robot,process activity,robot,50r,shelf,58s
8475CP,2325,2017-12-15 21:13:18,2017-12-15 21:13:18,check if the product was shaked,process activity,clerk,1c,product,8475p
981CP,2324,2017-12-15 21:13:18,2017-12-15 21:19:18,Request product,process activity,clerk,1c,product,981p
981CP,2331,2017-12-15 21:19:18,2017-12-15 21:19:18,Assgin robot,process activity,robot,72r,shelf,445s
8475CP,2340,2017-12-15 21:28:18,2017-12-15 21:28:18,Product Delivered,process activity,clerk,1c,product,8475p
9441CP,2343,2017-12-15 21:30:18,2017-12-15 21:30:18,check if the product was shaked,process activity,clerk,1c,product,9441p
2570CP,2342,2017-12-15 21:29:18,2017-12-15 21:43:18,Request product,process activity,clerk,1c,product,2570p
2570CP,2349,2017-12-15 21:44:18,2017-12-15 21:44:18,Assgin robot,process activity,robot,44r,shelf,82s
9441CP,2352,2017-12-15 21:50:18,2017-12-15 21:50:18,Product Delivered,process activity,clerk,1c,product,9441p
9192CP,2353,2017-12-15 21:50:18,2017-12-15 21:57:18,Request product,process activity,clerk,1c,product,9192p
9192CP,2358,2017-12-15 21:57:18,2017-12-15 21:57:18,Assgin robot,process activity,robot,24r,shelf,414s
6477CP,2372,2017-12-15 22:09:18,2017-12-15 22:09:18,check if the product was shaked,process activity,clerk,1c,product,6477p
204CP,2371,2017-12-15 22:09:18,2017-12-15 22:23:18,Request product,process activity,clerk,1c,product,204p
204CP,2387,2017-12-15 22:23:18,2017-12-15 22:23:18,Assgin robot,process activity,robot,16r,shelf,136s
6477CP,2400,2017-12-15 22:36:18,2017-12-15 22:36:18,Product Delivered,process activity,clerk,1c,product,6477p
7607CP,2406,2017-12-15 22:39:18,2017-12-15 22:39:18,check if the product was shaked,process activity,clerk,1c,product,7607p
7677CP,2386,2017-12-15 22:22:18,2017-12-15 22:41:18,Request product,process activity,clerk,1c,product,7677p
7677CP,2410,2017-12-15 22:41:18,2017-12-15 22:41:18,Assgin robot,process activity,robot,33r,shelf,137s
376CP,2397,2017-12-15 22:34:18,2017-12-15 22:43:18,Request product,process activity,clerk,1c,product,376p
376CP,2413,2017-12-15 22:44:18,2017-12-15 22:44:18,Assgin robot,process activity,robot,75r,shelf,10s
7607CP,2420,2017-12-15 22:47:18,2017-12-15 22:47:18,Product Delivered,process activity,clerk,1c,product,7607p
3480CP,2421,2017-12-15 22:48:18,2017-12-15 22:48:18,check if the product was shaked,process activity,clerk,1c,product,3480p
6193CP,2405,2017-12-15 22:39:18,2017-12-15 22:52:18,Request product,process activity,clerk,1c,product,6193p
6193CP,2427,2017-12-15 22:52:18,2017-12-15 22:52:18,Assgin robot,process activity,robot,27r,shelf,98s
3480CP,2435,2017-12-15 23:06:18,2017-12-15 23:06:18,Product Delivered,process activity,clerk,1c,product,3480p
5293CP,2436,2017-12-15 23:06:18,2017-12-15 23:06:18,check if the product was shaked,process activity,clerk,1c,product,5293p
8146CP,2437,2017-12-15 23:07:18,2017-12-15 23:21:18,Request product,process activity,clerk,1c,product,8146p
8146CP,2456,2017-12-15 23:21:18,2017-12-15 23:21:18,Assgin robot,process activity,robot,28r,shelf,254s
5293CP,2460,2017-12-15 23:24:18,2017-12-15 23:24:18,Product Delivered,process activity,clerk,1c,product,5293p
8816CP,2461,2017-12-15 23:25:18,2017-12-15 23:25:18,check if the product was shaked,process activity,clerk,1c,product,8816p
8816CP,2471,2017-12-15 23:40:18,2017-12-15 23:40:18,Product Delivered,process activity,clerk,1c,product,8816p
5490CP,2462,2017-12-15 23:25:18,2017-12-15 23:40:18,Request product,process activity,clerk,1c,product,5490p
1157CP,2473,2017-12-15 23:41:18,2017-12-15 23:41:18,check if the product was shaked,process activity,clerk,1c,product,1157p
5490CP,2476,2017-12-15 23:42:18,2017-12-15 23:42:18,Assgin robot,process activity,robot,19r,shelf,299s
1157CP,2480,2017-12-15 23:46:18,2017-12-15 23:46:18,Product Delivered,process activity,clerk,1c,product,1157p
7682CP,2483,2017-12-15 23:56:18,2017-12-15 23:56:18,check if the product was shaked,process activity,clerk,1c,product,7682p
275CP,2470,2017-12-15 23:36:18,2017-12-16 00:00:18,Request product,process activity,clerk,1c,product,275p
275CP,2490,2017-12-16 00:01:18,2017-12-16 00:01:18,Assgin robot,process activity,robot,73r,shelf,241s
8020CP,2485,2017-12-15 23:57:18,2017-12-16 00:05:18,Request product,process activity,clerk,1c,product,8020p
7682CP,2497,2017-12-16 00:06:18,2017-12-16 00:06:18,Product Delivered,process activity,clerk,1c,product,7682p
8020CP,2499,2017-12-16 00:07:18,2017-12-16 00:07:18,Assgin robot,process activity,robot,76r,shelf,290s
764CP,2500,2017-12-16 00:07:18,2017-12-16 00:07:18,check if the product was shaked,process activity,clerk,1c,product,764p
5041CP,2492,2017-12-16 00:03:18,2017-12-16 00:14:18,Request product,process activity,clerk,1c,product,5041p
5041CP,2505,2017-12-16 00:14:18,2017-12-16 00:14:18,Assgin robot,process activity,robot,7r,shelf,141s
7833CP,2482,2017-12-15 23:54:18,2017-12-16 00:17:18,Request product,process activity,clerk,1c,product,7833p
7833CP,2508,2017-12-16 00:18:18,2017-12-16 00:18:18,Assgin robot,process activity,robot,26r,shelf,305s
764CP,2513,2017-12-16 00:21:18,2017-12-16 00:21:18,Product Delivered,process activity,clerk,1c,product,764p
3896CP,2515,2017-12-16 00:22:18,2017-12-16 00:23:18,check if the product was shaked,process activity,clerk,1c,product,3896p
9782CP,2501,2017-12-16 00:08:18,2017-12-16 00:30:18,Request product,process activity,clerk,1c,product,9782p
9782CP,2527,2017-12-16 00:30:18,2017-12-16 00:30:18,Assgin robot,process activity,robot,94r,shelf,443s
5870CP,2516,2017-12-16 00:22:18,2017-12-16 00:39:18,Request product,process activity,clerk,1c,product,5870p
5870CP,2534,2017-12-16 00:40:18,2017-12-16 00:40:18,Assgin robot,process activity,robot,61r,shelf,107s
3896CP,2540,2017-12-16 00:44:18,2017-12-16 00:44:18,Product Delivered,process activity,clerk,1c,product,3896p
5091CP,2541,2017-12-16 00:44:18,2017-12-16 00:44:18,check if the product was shaked,process activity,clerk,1c,product,5091p
6013CP,2539,2017-12-16 00:42:18,2017-12-16 01:00:18,Request product,process activity,clerk,1c,product,6013p
6013CP,2555,2017-12-16 01:00:18,2017-12-16 01:00:18,Assgin robot,process activity,robot,46r,shelf,91s
8468CP,2542,2017-12-16 00:45:18,2017-12-16 01:04:18,Request product,process activity,clerk,1c,product,8468p
8468CP,2561,2017-12-16 01:06:18,2017-12-16 01:06:18,Assgin robot,process activity,robot,6r,shelf,169s
5091CP,2571,2017-12-16 01:12:18,2017-12-16 01:12:18,Product Delivered,process activity,clerk,1c,product,5091p
8033CP,2572,2017-12-16 01:12:18,2017-12-16 01:12:18,check if the product was shaked,process activity,clerk,1c,product,8033p
8033CP,2580,2017-12-16 01:22:18,2017-12-16 01:22:18,Product Delivered,process activity,clerk,1c,product,8033p
6879CP,2583,2017-12-16 01:23:18,2017-12-16 01:23:18,check if the product was shaked,process activity,clerk,1c,product,6879p
7053CP,2582,2017-12-16 01:23:18,2017-12-16 01:38:18,Request product,process activity,clerk,1c,product,7053p
7053CP,2592,2017-12-16 01:39:18,2017-12-16 01:39:18,Assgin robot,process activity,robot,36r,shelf,69s
6879CP,2598,2017-12-16 01:46:18,2017-12-16 01:46:18,Product Delivered,process activity,clerk,1c,product,6879p
